,year,month,day,country,region,province_or_state,city,lat,lon,attacktype1,target_type1,group_name,total_perps,weapon_type1,total_killed,total_wounded,deadly_score
0,1970,7,2,Dominican Republic,Central America & Caribbean,unknown,Santo Domingo,18.456792,-69.951164,Assassination,Private Citizens & Property,MANO-D,-1,Unknown,1,0,2
1,1970,0,0,Mexico,North America,Federal,Mexico city,19.371887,-99.086624,Hostage Taking (Kidnapping),Government (Diplomatic),23rd of September Communist League,7,Unknown,0,0,0
2,1970,1,0,Philippines,Southeast Asia,Tarlac,Unknown,15.478598,120.599741,Assassination,Journalists & Media,Unknown,-1,Unknown,1,0,2
3,1970,1,0,Greece,Western Europe,Attica,Athens,37.99749,23.762728,Bombing/Explosion,Government (Diplomatic),Unknown,-1,Explosives,-1,-1,-1
4,1970,1,0,Japan,East Asia,Fukouka,Fukouka,33.580412,130.396361,Facility/Infrastructure Attack,Government (Diplomatic),Unknown,-1,Incendiary,-1,-1,-1
5,1970,1,1,United States,North America,Illinois,Cairo,37.005105,-89.176269,Armed Assault,Police,Black Nationalists,-99,Firearms,0,0,0
6,1970,1,2,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214,Assassination,Police,Tupamaros (Uruguay),3,Firearms,0,0,0
7,1970,1,2,United States,North America,California,Oakland,37.791927,-122.225906,Bombing/Explosion,Utilities,Unknown,-99,Explosives,0,0,0
8,1970,1,2,United States,North America,Wisconsin,Madison,43.076592,-89.412488,Facility/Infrastructure Attack,Military,New Year's Gang,1,Incendiary,0,0,0
9,1970,1,3,United States,North America,Wisconsin,Madison,43.07295,-89.386694,Facility/Infrastructure Attack,Government (General),New Year's Gang,1,Incendiary,0,0,0
10,1970,1,1,United States,North America,Wisconsin,Baraboo,43.4685,-89.744299,Bombing/Explosion,Military,"Weather Underground, Weathermen",-1,Explosives,0,0,0
11,1970,1,6,United States,North America,Colorado,Denver,39.758968,-104.876305,Facility/Infrastructure Attack,Military,Left-Wing Militants,-99,Incendiary,0,0,0
12,1970,1,8,Italy,Western Europe,Lazio,Rome,41.890961,12.490069,Hijacking,Airports & Aircraft,Unknown,1,Firearms,0,0,0
13,1970,1,9,United States,North America,Michigan,Detroit,42.331685,-83.047924,Facility/Infrastructure Attack,Government (General),Left-Wing Militants,-99,Incendiary,0,0,0
14,1970,1,9,United States,North America,Puerto Rico,Rio Piedras,18.386932,-66.061127,Facility/Infrastructure Attack,Business,Armed Commandos of Liberation,-99,Incendiary,0,0,0
15,1970,1,10,East Germany (GDR),Eastern Europe,Berlin,Berlin,52.50153,13.401851,Bombing/Explosion,Government (General),Commune 1,-1,Explosives,-1,-1,-1
16,1970,1,11,Ethiopia,Sub-Saharan Africa,Unknown,Unknown,0.0,0.0,Unknown,Military,Eritrean Liberation Front,1,Unknown,1,0,2
17,1970,1,12,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Educational Institution,Black Nationalists,-99,Explosives,0,0,0
18,1970,1,12,United States,North America,Puerto Rico,Rio Grande,18.379998,-65.830948,Bombing/Explosion,Business,Strikers,-99,Explosives,0,0,0
19,1970,1,13,United States,North America,Washington,Seattle,47.610786,-122.331306,Facility/Infrastructure Attack,Business,Black Nationalists,-99,Incendiary,0,0,0
20,1970,1,14,United States,North America,Illinois,Champaign,40.116748,-88.23927,Facility/Infrastructure Attack,Police,Black Nationalists,-99,Incendiary,0,1,1
21,1970,1,15,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214,Armed Assault,Educational Institution,Tupamaros (Uruguay),5,Firearms,0,0,0
22,1970,1,19,United States,North America,Washington,Seattle,47.610786,-122.331306,Bombing/Explosion,Educational Institution,Black Nationalists,3,Explosives,0,0,0
23,1970,1,19,United States,North America,Washington,Seattle,47.610786,-122.331306,Bombing/Explosion,Military,Student Radicals,2,Explosives,0,0,0
24,1970,1,19,United States,North America,New Jersey,Jersey City,40.717892,-74.067467,Facility/Infrastructure Attack,Violent Political Party,White extremists,-99,Incendiary,0,0,0
25,1970,1,20,Guatemala,Central America & Caribbean,Guatemala,Guatemala City,14.622869,-90.529068,Assassination,Government (Diplomatic),Unknown,1,Unknown,1,0,2
26,1970,1,21,Philippines,Southeast Asia,Metropolitan Manila,Quezon City,14.67428,121.057495,Bombing/Explosion,Government (Diplomatic),Unknown,-1,Explosives,0,0,0
27,1970,1,22,Venezuela,South America,Caracas,Caracas,10.482834,-66.962128,Hostage Taking (Kidnapping),Business,Armed Forces of National Liberation- Venezuela (FALN),3,Unknown,0,0,0
28,1970,1,22,United States,North America,Nebraska,South Sioux City,42.47031,-96.413949,Bombing/Explosion,Private Citizens & Property,Strikers,-99,Explosives,0,0,0
29,1970,1,25,United States,North America,Mississippi,West Point,33.60651,-88.650419,Facility/Infrastructure Attack,Private Citizens & Property,White extremists,-99,Incendiary,0,0,0
30,1970,1,25,United States,North America,New York,New York City,40.697132,-73.931351,Armed Assault,Police,Black Nationalists,-99,Firearms,0,2,2
31,1970,1,26,United States,North America,Mississippi,West Point,33.60651,-88.650419,Bombing/Explosion,Government (General),Black Nationalists,-99,Explosives,0,0,0
32,1970,1,26,United States,North America,New York,New York City,40.697132,-73.931351,Armed Assault,Police,Black Nationalists,-99,Firearms,0,0,0
33,1970,1,27,United States,North America,Ohio,Norwalk,41.241996,-82.615241,Facility/Infrastructure Attack,Government (General),Left-Wing Militants,-99,Incendiary,0,0,0
34,1970,1,28,East Germany (GDR),Eastern Europe,Berlin,Berlin,52.50153,13.401851,Facility/Infrastructure Attack,Police,Unknown,-1,Incendiary,-1,-1,-1
35,1970,1,28,United States,North America,Washington,Seattle,47.610786,-122.331306,Bombing/Explosion,Religious Figures/Institutions,White extremists,-99,Explosives,0,0,0
36,1970,1,30,United States,North America,Nebraska,South Sioux City,42.479999,-96.413046,Bombing/Explosion,Unknown,Strikers,-99,Explosives,0,0,0
37,1970,1,30,United States,North America,Nebraska,South Sioux City,42.46634,-96.41405,Bombing/Explosion,Business,Strikers,-99,Explosives,0,0,0
38,1970,1,30,United States,North America,Florida,Coral Gables,25.720851,-80.277857,Facility/Infrastructure Attack,Military,Student Radicals,-99,Incendiary,0,0,0
39,1970,1,31,Philippines,Southeast Asia,Tarlac,Bamban,15.675051,120.331618,Unknown,Military,New People's Army (NPA),-1,Unknown,0,1,1
40,1970,1,31,United States,North America,Colorado,Denver,39.758968,-104.876305,Bombing/Explosion,Police,Unknown,-99,Explosives,0,0,0
41,1970,2,1,United States,North America,Oregon,Portland,45.511795,-122.675629,Facility/Infrastructure Attack,Government (General),Left-Wing Militants,1,Incendiary,0,0,0
42,1970,2,1,United States,North America,Illinois,Cairo,37.005105,-89.176269,Armed Assault,Police,Black Nationalists,-99,Firearms,0,0,0
43,1970,2,2,United States,North America,New York,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,Business,Unknown,-99,Incendiary,0,0,0
44,1970,2,3,United States,North America,New York,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,Business,Unknown,-99,Incendiary,0,0,0
45,1970,2,3,United States,North America,New York,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,Business,Unknown,-99,Incendiary,0,0,0
46,1970,2,4,United States,North America,Ohio,Akron,41.084195,-81.514059,Bombing/Explosion,Private Citizens & Property,Strikers,-99,Explosives,0,0,0
47,1970,2,6,United States,North America,Colorado,Denver,39.758968,-104.876305,Bombing/Explosion,Transportation,Black Nationalists,3,Explosives,0,0,0
48,1970,2,6,United States,North America,Washington,Seattle,47.610786,-122.331306,Bombing/Explosion,Government (General),White extremists,-99,Explosives,0,0,0
49,1970,2,6,United States,North America,Washington,Seattle,47.610786,-122.331306,Bombing/Explosion,Religious Figures/Institutions,White extremists,-99,Explosives,0,0,0
50,1970,2,6,United States,North America,Puerto Rico,Dorado,18.460791,-66.264884,Facility/Infrastructure Attack,Government (General),Armed Revolutionary Independence Movement (MIRA),-99,Incendiary,0,0,0
51,1970,2,6,United States,North America,Puerto Rico,Rio Piedras,18.386932,-66.061127,Facility/Infrastructure Attack,Utilities,Armed Revolutionary Independence Movement (MIRA),-99,Incendiary,0,0,0
52,1970,2,6,United States,North America,Puerto Rico,Carolina,18.441963,-66.026316,Facility/Infrastructure Attack,Business,Armed Revolutionary Independence Movement (MIRA),-99,Incendiary,0,0,0
53,1970,2,6,United States,North America,Massachusetts,Boston,42.3505,-71.105399,Facility/Infrastructure Attack,Military,Student Radicals,-99,Incendiary,0,0,0
54,1970,2,7,United States,North America,Wisconsin,Whitewater,42.838355,-88.743224,Facility/Infrastructure Attack,Educational Institution,Student Radicals,-99,Incendiary,0,0,0
55,1970,2,8,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Armed Revolutionary Independence Movement (MIRA),-99,Explosives,0,0,0
56,1970,2,8,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Armed Revolutionary Independence Movement (MIRA),-99,Explosives,0,0,0
